id,slug,pet_number,pet_name,species,age,age_unit,sex,reproductive_status,color,source,image_path,created_at,updated_at
69,canine-1743221604-0q1e6,99,Brando,canine,2,months,male,unknown,bi-color,rescued,pet-images/pet99_20250402003919.svg,29/03/2025 12:13,02/04/2025 0:39
70,canine-1743221604-0q1e7,99,Cyber,canine,2,months,male,unknown,bi-color,rescued,pet-images/pet99_20250402003925.svg,29/03/2025 12:13,02/04/2025 0:39
71,canine-1743221604-0q1e8,99,Cooper,canine,2,months,female,unknown,bi-color,rescued,pet-images/pet99_20250402003931.svg,29/03/2025 12:13,02/04/2025 0:39
72,canine-1743221604-0q1e9,99,Maloy,canine,2,months,female,unknown,brown,rescued,pet-images/pet99_20250402003951.svg,29/03/2025 12:13,02/04/2025 0:39
73,canine-1743221604-0q1f0,99,Coffee,canine,2,months,male,intact,tri-color,rescued,pet-images/pet99_20250402003937.svg,29/03/2025 12:13,02/04/2025 0:39
74,feline-1743221604-0q1f1,99,Abby,feline,7,months,female,neutered,tri-color,surrendered,pet-images/pet99_20250402003957.svg,29/03/2025 12:13,02/04/2025 0:39
75,feline-1743221604-0q1f2,99,Treppy,feline,1,months,female,unknown,tri-color,rescued,pet-images/pet99_20250402004012.svg,29/03/2025 12:13,02/04/2025 0:40
76,canine-1743221604-0q1f3,99,Rocky,canine,3,months,male,unknown,black,other,pet-images/pet99_20250402003945.svg,29/03/2025 12:13,02/04/2025 0:39
77,canine-1743221604-0q1f4,99,Racka,canine,3,months,female,unknown,black,other,pet-images/pet99_20250402004005.svg,29/03/2025 12:13,02/04/2025 0:40
78,feline-1743221604-0q1f5,99,Rev,feline,1,months,male,intact,bi-color,rescued,pet-images/pet99_20250402004018.svg,29/03/2025 12:13,02/04/2025 0:40
79,canine-1743221604-0q1f6,99,Chog,canine,1,years,female,unknown,black,rescued,pet-images/pet99_20250402004032.svg,29/03/2025 12:13,02/04/2025 0:40
80,canine-1743221604-0q1f7,99,N/A,canine,1,months,male,unknown,others,other,pet-images/pet99_20250402004040.svg,29/03/2025 12:13,02/04/2025 0:40
81,canine-1743221604-0q1f8,99,N/A,canine,1,months,male,unknown,others,other,pet-images/pet99_20250402004051.svg,29/03/2025 12:13,02/04/2025 0:40
82,canine-1743221604-0q1f9,99,N/A,canine,1,months,female,unknown,others,other,pet-images/pet99_20250402004058.svg,29/03/2025 12:13,02/04/2025 0:40
83,canine-1743221604-0q1g0,99,Milkh,canine,2,months,male,unknown,white,rescued,pet-images/pet99_20250402004104.svg,29/03/2025 12:13,02/04/2025 0:41
84,canine-1743221604-0q1g1,99,Clowlate,canine,2,months,female,unknown,bi-color,rescued,pet-images/pet99_20250402004110.svg,29/03/2025 12:13,02/04/2025 0:41
85,canine-1743221604-0q1g2,99,N/A,canine,2,months,male,unknown,bi-color,rescued,pet-images/pet99_20250402004117.svg,29/03/2025 12:13,02/04/2025 0:41
86,canine-1743221604-0q1g3,99,N/A,canine,2,months,male,intact,gray,rescued,pet-images/pet99_20250402004123.svg,29/03/2025 12:13,02/04/2025 0:41
87,canine-1743221604-0q1g4,99,Tiger,canine,2,months,male,intact,white,rescued,pet-images/pet99_20250402004129.svg,29/03/2025 12:13,02/04/2025 0:41
88,canine-1743221604-0q1g5,99,Joshua,canine,3,months,male,intact,brown,rescued,pet-images/pet99_20250402004137.svg,29/03/2025 12:13,02/04/2025 0:41
89,canine-1743221604-0q1g6,99,Spot,canine,2,months,male,unknown,others,rescued,pet-images/pet99_20250402004147.svg,29/03/2025 12:13,02/04/2025 0:41
90,canine-1743221604-0q1g7,99,N/A,canine,3,months,male,unknown,bi-color,rescued,pet-images/pet99_20250402004153.svg,29/03/2025 12:13,02/04/2025 0:41
91,canine-1743221604-0q1g8,99,Max,canine,2,months,male,unknown,bi-color,rescued,pet-images/pet99_20250402004159.svg,29/03/2025 12:13,02/04/2025 0:41
92,canine-1743221604-0q1g9,99,Chichi,canine,3,months,female,unknown,bi-color,rescued,pet-images/pet99_20250402004205.svg,29/03/2025 12:13,02/04/2025 0:42
93,canine-1743221604-0q1h0,99,Pinky,canine,6,months,female,unknown,bi-color,other,pet-images/pet99_20250402004212.svg,29/03/2025 12:13,02/04/2025 0:42
94,canine-1743221604-0q1h1,99,Khay,canine,2,years,female,neutered,others,rescued,pet-images/pet99_20250402004219.svg,29/03/2025 12:13,02/04/2025 0:42
95,canine-1743221604-0q1h2,99,Cassie,canine,2,months,female,intact,bi-color,surrendered,pet-images/pet99_20250402004225.svg,29/03/2025 12:13,02/04/2025 0:42
96,feline-1743221604-0q1h3,99,Tilapia,feline,4,months,female,unknown,gray,surrendered,pet-images/pet99_20250402004231.svg,29/03/2025 12:13,02/04/2025 0:42
97,canine-1743221604-0q1h4,99,N/A,canine,1,years,female,neutered,white,surrendered,pet-images/pet99_20250402004237.svg,29/03/2025 12:13,02/04/2025 0:42
